date,time,split,day,exercise,setNumber,weight,reps,rir,notes
2026-03-12,19:21,PPLs,Legs + Shoulders,Cable Lateral Raises,1,16,9,0,Did rear delts before lateral
2026-03-12,19:21,PPLs,Legs + Shoulders,Cable Lateral Raises,2,11,15,0,Did rear delts before lateral
2026-03-12,19:21,PPLs,Legs + Shoulders,Cable Lateral Raises,3,11,12,0,Did rear delts before lateral
2026-03-12,19:21,PPLs,Legs + Shoulders,Cable Rear Delt Fly,1,22,10,0,Did rear delts before lateral
2026-03-12,19:21,PPLs,Legs + Shoulders,Cable Rear Delt Fly,2,16,12,2,Did rear delts before lateral
2026-03-12,19:21,PPLs,Legs + Shoulders,Cable Rear Delt Fly,3,16,14,0,Did rear delts before lateral
2026-03-13,15:03,PPLs,Push B,Flat Dumbbell Press,1,90,6,0,
2026-03-13,15:03,PPLs,Push B,Flat Dumbbell Press,2,85,6,0,
2026-03-13,15:03,PPLs,Push B,Flat Dumbbell Press,3,80,6,0,
2026-03-13,15:03,PPLs,Push B,Slight Decline Machine Press,1,70,10,2,
2026-03-13,15:03,PPLs,Push B,Slight Decline Machine Press,2,80,10,0,
2026-03-13,15:03,PPLs,Push B,Slight Decline Machine Press,3,70,10,0,
2026-03-16,19:19,PPLs,Push A,Flat Machine Chest Press,1,70,10,2,Did single overhead. Did incline press machine
2026-03-16,19:19,PPLs,Push A,Flat Machine Chest Press,2,80,9,0,Did single overhead. Did incline press machine
2026-03-16,19:19,PPLs,Push A,Flat Machine Chest Press,3,70,9,0,Did single overhead. Did incline press machine
2026-03-16,19:19,PPLs,Push A,Weighted Chest Dips,1,0,8,0,Did single overhead. Did incline press machine
2026-03-16,19:19,PPLs,Push A,Weighted Chest Dips,2,0,8,0,Did single overhead. Did incline press machine
2026-03-16,19:19,PPLs,Push A,Pronated Triceps Pushdowns,1,44,12,0,Did single overhead. Did incline press machine
2026-03-16,19:19,PPLs,Push A,Pronated Triceps Pushdowns,2,33,15,0,Did single overhead. Did incline press machine
2026-03-17,16:58,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,8,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Neutral Grip Pull-Ups,2,0,4,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Neutral Grip Pull-Ups,3,0,4,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Single Arm Cable Lat Pulldown,1,60,8,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Single Arm Cable Lat Pulldown,2,55,11,1,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Single Arm Cable Lat Pulldown,3,55,9,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Seated Cable Row,1,143,10,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Seated Cable Row,2,131,10,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Seated Cable Row,3,121,10,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Incline Dumbbell Curl,1,30,10,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Incline Dumbbell Curl,2,30,8,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-17,16:58,PPLs,Pull A,Incline Dumbbell Curl,3,25,9,0,Assisted pull up broken. Did last set on lat pulldown. Did incline DB curl 4th. 
2026-03-18,17:13,PPLs,Legs + Shoulders,Romanian Deadlift,1,70,10,1,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Leg Extension,1,170,10,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Leg Extension,2,170,10,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Hamstring Curl,1,180,10,2,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Hamstring Curl,2,190,10,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Hamstring Curl,3,180,10,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Seated Dumbbell Shoulder Press,1,65,10,1,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Seated Dumbbell Shoulder Press,2,65,10,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Seated Dumbbell Shoulder Press,3,65,7,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Cable Lateral Raises,1,16,12,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Cable Lateral Raises,2,11,15,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-18,17:13,PPLs,Legs + Shoulders,Cable Lateral Raises,3,11,12,0,No leg press. Hack Squat: 3x160. Hamstrings are about to combust after 1 RDL
2026-03-19,18:29,PPLs,Push B,Flat Dumbbell Press,1,90,10,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Flat Dumbbell Press,2,85,9,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Flat Dumbbell Press,3,85,6,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Decline Machine Press,1,160,10,0,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Did fly’s last
2026-03-19,18:29,PPLs,Push B,Decline Machine Press,2,160,8,0,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Did fly’s last
2026-03-19,18:29,PPLs,Push B,Decline Machine Press,3,140,18,0,[plate_meta p45=1;p35=0;p25=1;p10=0;sled=0] Did fly’s last
2026-03-19,18:29,PPLs,Push B,High to Low Cable Fly,1,50,8,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,High to Low Cable Fly,2,43,12,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,High to Low Cable Fly,3,37,15,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Overhead Cable Triceps Extension,1,27,12,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Overhead Cable Triceps Extension,2,27,11,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Overhead Cable Triceps Extension,3,27,9,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Triceps Pushdowns,1,66,10,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Triceps Pushdowns,2,66,9,0,Did fly’s last
2026-03-19,18:29,PPLs,Push B,Triceps Pushdowns,3,66,5,0,Did fly’s last
